"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","0","Catalog search","0","0","Search products by SKU","0"
"1","Shopkart API","0","Cart Totals","0","0","Cart total lifecycle: login","0"
"1","Shopkart API","0","Cart Totals","0","0","Cart total lifecycle: add items, verify totals against API and DB","0"
"1","Shopkart API","0","Cart Stock Validation","0","0","Adding an out-of-stock SKU to the cart is rejected","0"
"1","Shopkart API","0","Order Lifecycle","0","0","Cancelling an order sets status to CANCELLED and blocks a second cancel","0"
"1","Shopkart API","0","Cart Totals","0","0","Cart total lifecycle: fetch empty cart","0"
"1","Shopkart API","0","Order Access Control","0","0","Only the order owner can view their order; other customers are forbidden","0"
"1","Shopkart Checkout","0","Checkout End-To-End","0","0","Full checkout flow: login, search, cart, order, DB verification","0"
"1","","0","Checkout feature","0","0","Successful checkout","0"
"0","Shopkart Checkout","0","Dummy Order Persistence","1","0","Order round-trips through the database correctly","0"
"1","Shopkart API","0","Cart Totals","0","0","Cart total lifecycle: create empty cart","0"
